"item","agree","agree_but","disagree","notes"
"purpose",93,16,1,"a network or a set of networks
(or network(s) as used later in the guidelines)

=====

If the network data have been ""formally"" published, e.g., in a paper on a scientific data journal or venue, AND if the network data description in said paper includes a report following these guidelines, then it should be enough to quote the published paper

=====

The focus is on scientific articles, but I think longer pieces - such as monographs - might be worth taking into account. If one network is used throughout the book, should it be reintroduced in each chapter?
The role of 'optional' in citation is also unclear; whether it is mandatory if it applies, or if it is up to the researcher. Citation should always be mandatory if applicable.

=====

I somehow object the ""minimum"" and ""always"" which sounds to me more like a religious commandment rather than scientific practice. We cannot know whether in some circumstances (other than the ""if"" conditions in the guidelines) it may be well justified not to report some item (perhaps simply because it is meaningless in that particular circumstance). The framing with ""minimum"" and ""always"" sounds like it could lead to a mechanical rejection of a manuscript that fails to report one of these items - without looking at whether it might be justifiable in the given situation. It's similar about the ""even if the data has been described elsewhere"". There are papers analyzing dozens of well-known network data sets with a new method. Should these papers put readers to sleep (and wasting space) by reporting for all these networks all the mandatory items which have been well reported in other papers?
I highly recommend to better clarify in the ""preamble"" that deviations from the guidelines may be well justifiable (if they are justifiable). 

=====

Always is a lot--there may be some helpful things that are not ""always"" but are still very helpful.

=====

The purpose is clear, but I am wondering if ALL the information in the guidelines ALWAYS needs to be reported. Is this really the minimum set of metrics / info, that is relevant, or would a subset do as well? I'm also wondering if there is some easy way ""filter"" the guidelines, before downloading. E.g. when I'm working with a multimode / multiplex network / signed / egonetwork, then I can filter accordingly. This would reduce the number of IF cases people would have to go through, when working with rather simple networks.

=====

The purpose could also briefly emphasise that the guidelines apply across different forms of network data collection and aim to ensure transparency in how network datasets are generated and interpreted.

=====

I believe that while the main purpose of this guide is to offer clear guidelines for reporting the information that should always appear in a scientific article, these instructions should be equally applicable to any scientific document (book chapters, research reports) and only to articles that you aspire to be published in scientific journals.

=====

The purpose is clear but I find the underlining confusing.  I think you mean to highlight the ""essentials"" but underline (I know, not in black) often means a link to novices.  Maybe switch to italics bolded or assume that even the most neanderthal  reader will read the first SHORT page.

=====

I suggest that it be clarified that the guidelines also provide some optional reporting fields.

=====

The word always seems redundant since we are talking about minimum information. When it says elsewhere, does it mean in the paper? In a website that would be used as a reference, or in a paper cited?

=====

I would remove ""always""; it sounds a bit too authoritative.

=====

I think it may make a difference if the purpose of the work is to analyze network data or to present an algorithm for performing network analysis. In the latter case, the information could potentially be less detailed. Thus, ""minimum"" and ""always"" need to be seen in perspective.

=====

The use of 'always' in this framing suggests that the work would be undermined by the lack of the details. However, the details as presented may not be meaningful for a number of studies. I will have more details in the survey responses, but in general this work implies that these details are always meaningful and widely legitimate. Yet, many of the cases appear to be appeasing more complex work and filtering out. For example, reporting the mode / plex of the data seems like it is not a minimum for a single mode study as that would be implied. To that end, some of these points are a bit of overreach. 

=====

I would add a few lines about hoped-for benefits of expending the energy to follow the guidlines

=====

I think that the current language provides some room for researchers to not disclose some of the information (which I think is OK, depending on the situation). Nonetheless, I think the guidelines would be better if they explicitly marked what pieces of information should ALWAYS be shared. For instance, the funding sources of the data, the size of the network, the type of data (survey or synthetic), etc. I do not have a list in mind of things that should be required always, but I think it is worth doing the exercise. Right now, the standard includes a lot of information that may be too much for some datum, so it is a good idea, IMO, to clarify this part.

=====

The statement is clear as it is, but I get the impression that the requirement for what always should be reported has become quite extensive. Are all these items really necessary? For instance: I understand that you would like a ""check sum or 'sanity check'"" (7.2), but that is a different purpose than just providing the bare minimum of information. You might have to kill some of your darlings at this point. 
As an alternative, you could have two different standards: one for datasets that are publicly shared (and those interested thus can go and calculate things for themselves) and one for dataset that cannot be publicly shared, where the audience might need more information to understand the data and assess its validity. "
"style",99,10,1,"Having an overview of the content on the first page would be helpful. 

=====

I personally don't favor long documents with sans serif typographies. I'd rather use a serif one (admittedly this is idiosyncratic)

=====

The font is small in the notes section. Do you need to include as many details as you provide in ""notes""? Also, this is a personal preference, but I find the font style a bit difficult to read, especially when bolded

=====

Yes, but as I said before, maybe some type of digital filter would help to reduce the guidelines to the aspects that are relevant for the specific case.

=====

The guidelines could be slightly improved by introducing clearer visual structuring, such as more consistent section headings or additional spacing between sections, to make it easier to navigate the different categories of reporting items.

=====

Think there are so many queries. Most of them can be no completelly needed.

=====

Overall, the format is clear and has improved significantly in this second version. However, I believe the guide would be enhanced by incorporating graphs to illustrate, for example, the differences between an egocentric and a sociocentric network. After all, visual representation is a central element of the ANS and could improve the clarity of this guide.

=====

Technically, beyond black and white, the guidelines are also presented in greyscale.

=====

The font size in the Notes column is too small (even at 200%).

=====

The formatting is a very long list of specific details, without a specific guided example for studies. It now is an extremely long document and takes a more high-recall approach to cover all bases. I would prefer a stepped document and again disagree that this constitutes the minimum. It's more like ""things to consider"". 

Take for example the notes about a 'weighted' graph: this is merely a graph with edge attributes. To refer to them as a weighting already is doing a lot of analytical work that would be specific to the task. It does not prescribe when but instead the notes define what a weighting is, which itself might not be sufficient given a context. 

At the same time, there was little detail on how the data was collected that would be expected of a minimum viable graph and it is also a bit contradictory. In the methods it states: ""OPTIONAL: Provide a detailed description of the data collection
methods, including (as applicable): how the network’s bounded was defined, how
participants were recruited, the modality and procedures of data collection, and
the exact wording of the question(s) used to collect data."" Yet, there is another section under nodes that says boundaries: ""Report whether the set of nodes that should be included in the network was bounded by responses to a name generator question (ego network), by an a priori list (bounded whole network), or was not bounded (unbounded whole network)."" 

So - is it optional or mandatory? Boundaries do not make sense in most cases for synthetic graphs. 

=====

The title for the ""notes"" column looks smaller than the other column headings (maybe it's just my computer?), but it would look more balanced if the headers all used the same size font."
"notes",82,28,0,"1. How about defining “pre-analysis transformations” with some examples (e.g., dichotomizing/thresholding ties, symmetrizing directed ties, aggregating across time, removing isolates)?
2. How about specifying what “unknown” means in practice: “If unknown, report ‘unknown’ and briefly state why (not collected, lost, restricted access, etc.)?

=====

It's about the first point: ""These guidelines should be used to describe the final network(s) upon which analyses are performed, after any pre-analysis transformations have been applied.""
While it is important to know the final networks it is also important to know how the final network was constructed from earlier versions (raw, unfiltered, before preprocessing) of the data. For example, how many nodes/edges have been dropped due to preprocessing steps. This is somehow required in Points 4 and 6.4 but I think it should be stated earlier.

=====

These guidelines work well for training young researchers. They provide an overview of network data types and what researchers should consider in their research design. In this regard, the figure included in the previous version, which helped identify the network type (hypergraph, egonetwork, full network), was very useful, at least for training purposes.

=====

This statement  The items should be reported somewhere in the main text of a manuscript, typically in the methods section. Alternatively, they may be summarized in a table. - some journals require this material to be in an appendix - so change to  The items should be reported somewhere in the text of a manuscript, in the appropriate section or appendix as directed by the journal. ...

=====

Is the emphasis on ""final network"" accurate? In the pdf you correctly indicate that authors should describe transformations that were performed on the raw data. The first bullet potentially signals that the author doesn't need to document these changes. Maybe drop the bit ""after any pre-analysis transformations have been applied"" and add a second bullet that the guidelines also identify key transformation choices that should be included (e.g., symmetrization, missing data)

=====

Some journals still have space constraints for main texts, so the information can be added as an appendix (online), or in some repository, such as OSF.

=====

My minor comment pertains to the following bullet:

If a manuscript reports on a multi-wave longitudinal network, a set of ego networks, or a set of networks all representing the same kind of system, these can be described together as a single network dataset (see 1.2). However, if a manuscript reports on a set of networks that each represent different types of systems, each unique network should be described separately using these guidelines.

I'd add an brief parenthetical example of ""a set of networks all representing the same kind of system"" and ""a set of networks that each represent different types of systems"" just so that it is clear what is meant here. 



=====

""These guidelines should be used to describe the final network(s) upon which analyses are performed, after any pre-analysis transformations have been applied."" That's a bit strange because in #6 the guidelines are specifically asking for these transformations.

""The items should be reported somewhere in the main text of a manuscript, typically in the methods section. Alternatively, they may be summarized in a table."" Would it make sense to provide some simple examples, text or table that people can adapt accordingly? 

""multi-wave longitudinal network"" Why call it multi-wave longitudinal, and not simply longitudinal network? multi-wave would be a specific sub-case of longitudinal, but the ""waves"" are then very prominent in the descriptions / notes..

=====

The explanatory notes are clear. As a minor improvement, the notes could be slightly condensed or formatted as a numbered list to make them easier to scan quickly.

=====

I would weaken the request to report the items in the main text. This is ideal, but there may be instances (e.g. word limits) that require moving them to an online supplement. We could request that they should ideally be reported in the main text and if not, it should be explained in the main text where the items can be found.

=====

There are downstream benefits to having a complete table provided by authors in appendices (e.g., meta-analysis). However, I don't think this information should be required in the main body of a manuscript. Analyses vary too widely, and authors are likely to put in what they find useful, and exclude the rest for space/tone. 

Alternatively, a data page with the indicated information (not necessarily the data itself) could be required for publication, but hosted elsewhere. 

=====

“The items should be reported somewhere in the main text of a manuscript, typically in the methods section. Alternatively, they may be summarized in a table.” 
This report can be quite long. Could it be proposed in an Appendix instead of in the text, as suggested?

=====

I would publish these guidelines in a scientific paper (open access), so that people can simply cite them as reference. If there is financial possibility, the same paper can be also accessed through a dedicated web site

=====

I actually do not have a problem with these..but to follow on my earlier comment, the way this is formatted looks better for some reasons and is less confusing about the underline.  

=====

In the ""The items should be reported somewhere in the main text of a manuscript, typically in the methods section. Alternatively, they may be summarized in a table."" Sometimes some humanities journals used a lot the foot notes, maybe for that people could be a good idea to add: ""The items should be reported somewhere in the main text of a manuscript, typically in the methods section. Alternatively, they may be summarized in a table or footnote.""

=====

I would clarify if these items should be reported in the main text or if a supplemental appendix is also acceptable.

=====

The first question in this survey stated that all requirements are mandatory; however, these instructions are appropriately more forgiving, depending on the specific network(s) being analyzed. Be consistent about language regarding which information is mandatory to be provided in all cases vs. suggested to be included, as possible.

=====

I am not sure 100% that the distinction ""common network data"" vs ""unique cases"" is straightforward. Indeed, what is common and what is unique can be quite relative. Perhaps it is worth to rephrase by saying that: i) all items in the guidelines should be covered as much as possible as, together, they provide a golden standard for reporting network data; ii) authors should include/add any other specification/item that is necessary to provide complete info on the networks they use in their study.
in my opinion, rephrasing along these lines would read like a clearer invitation to follow these guidelines also for those that have not been trained explcitily in SNA (perhaps coming from other disciplines) and may not share the same standards with respect to what is ""common"" in this domain.

=====

""describe the final network(s) upon which analyses are performed"" This is slightly unclear, as later in the guide you ask to report (correctly) on any data transformation i.e. symmetrizing of dichotomizing. Can you give examples of pre-analysis that can be discarded?
""The items should be reported somewhere in the main text of a manuscript, typically in the methods section. Alternatively, they may be summarized in a table"" or in Supplement files available with the main text (for journals that publish very short articles some of the descriptive can go in the SF).

=====

In section 7.2 I was wondering whether connectivity ought to include not only a measure for cohesion (e.g. mean degree or edge density), but also spread or skewness (e.g. standard deviation or degree centralization). STEM network scientists I believe see most/all networks as skewed (power law) but this is not always the case in social science - as a highly connected network with low skewness (so even distribution of ties) can occur in certain research settings/contexts. 

=====

I presented these guidelines and there was some confusion on what was meant by ""different types of systems. "" A quick example would help. 

=====

Item 2 is confusing (Is the Table in the Appendix? Can the Table be anywhere in the manuscript (""insert here"" specification)? What about all of the people who put footnotes that say ""Go see our OSF"" (I hate this, by the way)? Will they think that this is reporting? Maybe be explicit that Footnotes/Endnotes/Links away from the single manuscript body fail these guidelines.

=====

The second to last point seems rather specific. And ""multi-wave longitudinal"" is also rather survey-style-research specific framing. It's also mentioned in the numbered section itself, so I am not sure why it is here as well.

=====

1. The notes say this is about the ""networks upon which analyses are performed"", it might be good to say whether this apply to network data that are used as inpendent variables in the analyses (e.g., imagine you estimate an ERGM on a network X including the effect of another ""exogenous"" network Y). The phrasing was sligthly ambiguous to me.

2. Following the previous point, you could clarify that these guidelines do not concern the reporting of node (or edge) attributes.

3. The notes mention these information should be put in the main text of the article. That may be too restrictive. As an extreme example, the format of the article may be very short and the analyses concern multiple networks (in particular if this is a meta analysis). In some cases, I fear some of these will have to go to the appendix.

=====

""describe the final network(s) upon which analyses are performed, after any pre-analysis transformations have been applied."" 

""These guidelines are designed to apply to many common types of network data, however authors may need to adapt the guidelines to accommodate unique cases."" 
- Then it's not really clear what mandatory should be. The use of terms like ""always"" with phrases like this really end up making this too ambiguous for my tastes. 
- Was this a compromise based on past feedback? It conflates the methodological issues with collection / cleaning / analysis. For example, if the edges were collected through 9 different edge generators and merged into a single edge, this would still appear to be important given the edge collection pages. 


The purpose also does not suggest _why_ this is the purpose. If the purpose is methodological robustness, then doing this on the transformed data misses steps required to appreciate what was or wasn't included. 

""If a manuscript reports on a multi-wave longitudinal network, a set of ego networks, or a set of networks all representing the same kind of system, these can be described together as a single network dataset (see 1.2). However, if a manuscript reports on a set of networks that each represent different types of systems, each unique network should be described separately using these guidelines."" 
- It would be nice to see this in practice. Describing it in terms of systems rather than in terms of nodes and their relations does seem a bit too vague for the tone. 

=====

I like the idea of having a table summarizing the data. For the amount of information that is expected from the researchers, I think it would be better to ask them explicitly to fill out a table and share it with the manuscript (appendix). Creating the table itself can be a nice exercise to get some of the information that is more relevant to expose directly in the main manuscript. For instance, the number of components is not something that SNA sees as very relevant, so yes, while it is a nice piece of information, it may not be useful for the target audience of an SNA paper. Yet, releasing the piece of information as part of the manuscript would still help standardize data communication.

=====

I still have a difficulties wrapping my head around what reporting ""as a single network dataset"" vs. ""described separately"" in practice means, especially as might not always be obvious whether two networks describe the same kind of system or not: is a country before and after a revolution the same system? The same ""type of system""? So in practice, those applying the rules will make their own judgement call. Maybe just drop the second sentence in his bullet point.

=====

Sometimes there may be mutiple stages of a network data structure (observed RDS data is sampled, network parameters are estimated, a synthetic model is simulated ERGM). These are probably covered in the (""each unique network should be described separately using these guidelines"") guideline? But we could probably be make it more explicit that transformations multiple network observations/generations/simulations can occur outside longitudinal frames."
"source",90,17,2,"This item and item 4.1 Method are somewhat redundant. It could be merged into one item.

=====

Is this a hierarchy of information, e.g. observed > direct > survey? If so, what needs to be reported: just ""survey"", or does one also need to declare ""observed"" and ""direct""?

=====

I am unclear how to incorporate this, but if data are synthetic but based on real data, e.g., ERGM-generated from a summary of observed data, this might be worth having as a category of its own. Or maybe this can be covered within 4.1? 

=====

Exchange the name with Item 1.6.

=====

The guideline is clear. As a minor suggestion, the notes could briefly clarify that data compiled from publicly available organisational sources, such as websites or institutional records, are considered observed data collected through indirect or archival methods.

=====

It shouldn’t be the first item. As a potential user and as a network scientist, one can already get a rough sense of whether a network is interesting simply by knowing what the nodes represent and what the links represent, and then how many nodes and how many links there are. The source is important, but it shouldn’t be the first thing a user encounters.

=====

For networks with partially imputed data, the source of the original network (pre-imputation) should be reported as either observed or synthetic.

=====

Archival data are still a matter of observation, old archives need to be transcribed and translated and before they are validated by historians have some source of error as ""directly observed"" data.

=====

Specify if datasets combining observed and synthetic elements (e.g., augmented networks) should be reported as mixed.

=====

I would suggest that the guidelines request details of the data source, beyond this binary distinction

=====

It might be good to also state that the algorithm/formula/etc. used to generate the data should be specified or reported. Alternatively, a note could be added to point the reader to 4.1.

=====

I am not sure ""Observed"" is the word I would use VS Synthetic. In the literature it is used VS ""reported"" to test informant accuracy. Maybe empirical would work better? I don't have a better term, so if you do not have it either ""observed"" would do

=====

It is unnecessary and bureaucratic

=====

If synthetic, report how the data were generated.

=====

1. ""Observed"" data is confusing.
In particular the direct and indirect definitions and how they relate to ""observed.""
I would call these: Organic vs. Synthetic or Real-World vs. Synthetic
The word ""observed"" does not align so well with trace. 

2. What do you mean by ""archival"" 
This doesn't matter for the source - This (temporal) aspect will be collected in ""Date"" anyway.

3. ""simulation""
I would make it clearer: computer simulation

4. ""Source"" 
I would use 'source' for what you are calling now ""Citation,"" and make this one ""Provenance"" or ""Mode""

=====

Maybe here or elsewhere, but synthetic data can be done in a variety of ways, some of which simply for bootstrapping or comparison to real data and some are just testing a feature. Where the synthetic data is based on parameters from real data that should be stipulated. But I feel we must be careful insofar as this would otherwise end up with overreach since many cases such as ERGMs would implicitly be generating synthetic data but not have them perceived as such since they are used for parameter estimation.

=====

some may wonder whether this is place to mention some ties were imputed

=====

Guideline would be clearer via: ""...data are observed directly, observed indirectly, or synthetic""

=====

There may be instances where observed and binary don't easily dichotomize as generation mechanisms? Or, perhaps, in some cases ""synthetic"" may be too broad a classification? . For instance, A network simulated from an ERGM fitted to data and a network generated from a Watts-Strogatz model with scaling parameters are both ""synthetic."" But they differ in how the generating process is empirically grounded. "
"multiple",77,29,4,"I'm not sure if, for instance, multiplex or multilayer networks could be noted here as an example of multiple data(e.g. I have different n mobility networks of individuals of socioeconomic class n, I'm interested in the multiplexity of mobility of individuals combined, let's say for epidemic purposes, but each layer is one network and can be analyzed and described separately... (although I know you have a separate item in edges for describing those ""plex"")

=====

Often the interval between waves is not the same (e.g., I have a longitudinal study at a high school comprising 16 waves in six years, but their separation fluctuates between two and four months due to a number of reasons). So you may want to rephrase: ""the temporal interval (average if not exactly periodic) between waves."" Alternatively, albeit more lengthy, the guidelines could request a list of dates for each wave. 

=====

Some of the language here might be simplified / explained further - here and elsewhere, language and jargon is accessible only to those already expert in network analysis methodologies. Though, arguably, this is who should be writing articles/NA content, should the guidelines also be for people trying to learn more about how to write network analysis as well, and therefore be more accessible?

=====

Maybe give a warning that ""multiple networks"" here does not mean multi-layered/multiplex networks, and that a section to indicate multiple edge types will come later.

=====

The statement on ""multiple networks"" representing ""temporal waves"" is fine but it misses an increasingly important type of temporal networks namely networks of relational events. See the survey Bianchi, F., Filippi-Mazzola, E., Lomi, A., & Wit, E. C. (2024). Relational event modeling. Annual Review of Statistics and Its Application, 11.
These are sequences of relational events (sender, receiver, time) where time is often so fine-granular that all or most interaction times are unique. Such data is increasingly common (any form of electronic communication or interaction, ...).  The guidelines seem to force researchers to force such event networks into sequences of snapshots. Many of the following more specific items do not translate well to this kind of networks.

=====

Two dimensions are combined: (1) personal networks versus whole networks, and (2) longitudinal versus cross-sectional observation. Although this distinction is conceptually clear and theoretically sound, it can be difficult to apply in practice, especially for novice researchers.

=====

All of these general guideline things are silly; I just don't see the value of doing this.

=====

I do not know what a 'wave' is in network context

=====

Just wonder if procedures, under item 4.1 and 4.2, could be part of the data section, after 1.2

=====

What is the difference between multiple networks and multiplex networks? If multiple networks can refer to the same nodeset(s), as in longitudinal networks, then multiplex networks (3.1) appear conceptually equivalent? Also, if this is where longitudinal information should appear (e.g. number of waves), is this also where network event information should appear (e.g. number/range of discrete time steps)? This item may conflate related yet distinct concepts in the search for parsimony, and could be unpacked into separate conditional items?

=====

Replace 'temporal interval' with 'temporal intervals', since gaps may not be consistent between waves

=====

In the reporting guideline should also consider data contain multiple layers or different parts of a system.

=====

for me, the focus is set too much on waves. simply call it ""temporal states"" or something similar? I know where this comes from, but the waves are - at least to me - a specific case and there are lots of other temporal network approaches, where the ""wave"" concept doesn't fit that well.. 

=====

The guideline is clear. As a minor suggestion, the notes could briefly mention that multiple networks may also arise when the composition of actors changes over time within the same system, which may be relevant in organisational or collaborative network settings.

=====

Yes, but this should after the definiton of what the nodes and links are, and how many of them he get in this dataset.

=====

I think that a third guideline could be added corresponding to the case where networks are of different types. An example would be the ""A Blue Start"" dataset, where there are two networks; one of the following network, and one of the starter pack network. I would consider this the same dataset, but the networks represent two different things. I don't think that this case is covered with examples provided. I think that if the networks represent different *parts* of a systems, each (with numbers) should be stated. So, in this example, it would be ""the dataset is two networks, one representing following relationships and one representing starterpack membership.""

=====

How are we going to treat longitudinal data where one vertex (maybe out of 10000) vanishes? (i.e one patient dies during data collection)

=====

I would clarify how to report datasets where the temporal interval between waves is irregular or inconsistent

=====

For longitudinal series, the time between intervals should be specified.

=====

It is unnecessary and bureaucratic

=====

The guideline handles longitudinal and multi-site cases well, but it doesn't address the increasingly common case of multiplex longitudinal networks, where you have both multiple waves and multiple types of relationships. Given how frequently this arises in organizational and team network research, a brief note acknowledging that combination would strengthen the guideline.

=====

Items 1.2 and 7.4 make the implicit assumption that temporal network data are discrete-time network data. How are relational event data and other continuous-time network data handled? I believe that multiple networks on the same set of nodes at the same time point should be separated from discrete-time and continuous-time network data, and that appropriate summaries for continuous-time network data should be included in the guidelines.

=====

I would be thinking of including an complex example reporting in an extra column at the end. I think this would make it easy to follow and easier to use. 

=====

I suggest using ""timeframes"" instead of ""temporal waves"".

=====

I would split these two into their own categories, because the ""multiple network"" case can also be represented at different ""waves"".

I would have two separate items:
1. waves (or temporality / periodicity)
2. cardinality (or # of components)

=====

The reporting of time intervals sounds a bit redundant with the reporting of dates (item 1.5). I personally prefer the latter, because:
1. in some cases the collection of waves may be done over a relatively long period, and it is difficult to report a neat interval time. In such cases it is much more informative to know the dates of the data collection.
Example: I go to the Amazonian forest to collect networks in villages, it takes me a month to go through all villages, but at my next visit I might reverse the order of the villages because of a flood going on, then for some people the interval is 2 months longer than others.
2. when working with relational events, we will prefer describing the dates at which the events occur anyway

=====

Would be nice to have citations to examples that fit each of the circumstances. 

=====

relational event data are longitudinal but not structured as waves. 

=====

This was the first guideline that was unclear to me. The examples helped, but also required a few readings to fully understand. My first thought was, what about if you collected multiple types of networks within a single system (i.e. friendship and advice in a single organization). I think 1.2 would not apply, but I am still not fully sure.

=====

I would rename this item to the Type of network with options:
- basic (single set of nodes, single set of links)
- bipartite (usually called twomode, two modes (sets/types of nodes), each link has an endnode in each mode)
- multimode (more than one mode)
- multirelational/multiplex (more than one set/type of links)
- temporal/dynamic (presence/activity of nodes and links can change through time). At least three ways of description: 
   - time slices (slice = ordinary network in selected time interval)
   - sequence of events transforming the current version of network (for example a trace of the network growth or data sets from https://eventdata.parusanalytics.com/data.html , etc.)
   - description of node/link activity as temporal quantity https://link.springer.com/article/10.1007/s13278-016-0330-4
- collection of networks

The types can be combined - multimode multirelational temporal network.
A general network can be decomposed into a collection of basic and bipartite networks (and vice versa). 

=====

It is unclear how to best consider dynamic networks (e.g., digital trace networks) or networks representing relational events. Would this be a single network over time or would there be an expectation to report on time windows?  Suggest adding something to the note to clarify expectations in such scenarios.

=====

add ""or the time when the different waves were collected"" to ""and the temporal interval between waves."" - the temporal interval may not have the same length between all waves. 

=====

For continuous-time network data (e.g., time-stamped interactions), the ""waves"" and ""interval"" framing may not directly transfer. Aggregation into discrete windows may be an analytic design choice? Do we want to make space to explicate this?"
"system",78,26,5,"Alternatively, category instead of system.

=====

Be clear whether this should be a short description (as in the given examples) or any length.  Would two paragraphs describing the network be a 'type' or is that too low-level a description for this item?

=====

A focal individual personal and PROFESSIONAL relationships. 

=====

I think, otherwise said: What does an edge represent? What does a node represent? (but you may ask this later in the survey)

=====

In mode-2 networks, it may be difficult to answer this question. Perhaps an example of this type of network could be included in the notes.

=====

How could this not be obvious from the manuscript?  If not, the manuscript should be rejected for incompetence. 

=====

I lean towards agree. My slight hesitation is how one would describe a 2-mode network (e.g., students and classes). Is it a connected system of students? a connected system of classes? a school? Perhaps it's up to the researcher and he/she will choose the ""system"" that best represents their research question (e.g., if they are primarily interested in student interactions they might prioritize the students, over the classes, when identifying the ""system""). I don't have a good suggestion to improve it. 

=====

'system' sounds vague. Some people may write very much details while some other people may write little.

=====

This could be difficult to answer in some cases, at least separate from a description of the nodes and ties in the network. What does this add over a requirement to specify the nodes and ties? Adding an optional 'name' item might offer more freedom, and useful where there are recognised names for classical datasets?

=====

Suggest move the item ahead of the Item 1.2

=====

to be more accurate and stay within the network conceptualization change ""food chain"" to ""food web""?

=====

Indeed, but after the cardinal and initial definitions of the nodes and links 

=====

Maybe instead of ""a connected system"" it should be ""connections within a system"". Some networks have more than one connected component and so are not ""a connected system"".


=====

Are references encouraged in these reporting steps? If so, this might be a useful spot to include a few, if relevant.

=====

Maybe explicitly say that there are diverse kinds of connected systems. I think those of us who work with network data know this, I could imagine someone seeing the list of examples and being daunted/confused.

=====

In the guideline 'type of system' might be confusing. I would simply left 'system'.

=====

I would also request to provide the domain of the data (e.g., biology, social) to ensure the system type is categorized consistently for cross study comparisons.

=====

The guidelines can suggest providing details about the system (e.g., for the example of a human brain, the species and age of the brain would be important to know).

=====

""type of systems"" seems vague? Maybe add some broad categorization?

=====

In many cases researchers are interested in the nodes, not in the system and will therefore not consider this guideline meaningful

=====

I would remove the first few words in Notes to read: ""The system is, for example, a university, the human brain, a food chain, or a focal individual’s personal relationships.""

=====

It is clear, but I'm not sure ""system"" is the right word.
Maybe kind, type.

=====

""System"" is not common/consistent terminology. I would just say ""Context"" or ""Source"".

=====

You use the system to define the system -- maybe clarify connected system.

=====

I would not use ""university"" as example here. It is too abstract and you can make many different types of networks from a university. You can specify: groups of researchers coauthoring papers, departments sharing subjects, .......

=====

This is more a question than a suggestion. I wonder whether this is necessary, given that a network is (at least for me) defined by a set of nodes and a set of edges. If we already describe what the nodes and edges represent, we might not need this. In practice, some people may be satisfied by saying that they study ""a friendship network among schoolmates"" or an ""advice network among co-workers"" and would not know what to add there. They could add something of course and say that these are ""social"" or ""organizational"" systems, but I'm not sure it adds any information that is strictly necessary to understand the data (which I think is the prupose of these guidelines).

=====

I dislike the use of the word system here. First, it does not pertain to synethetic networks, second it might be a minomer for egocentric networks (the personal contact system?). A system already smuggles in a sense of boundary in way that 'domain' or 'context' does not. 

=====

Could consider pairing with who are the nodes. but basically i like it the way it is

=====

It would be helpful in the note to add a bit more information about what is meant by a connected system. For example, what aspects of a university represent a system?  Similarly for the human brain - neurons connected through synapses? and so on.    

=====

perhaps mention that the author should specify the boundaries of the system

=====

Some networks are built from correlations, as in the case of financial networks and brain functional connectivity networks. I wonder if we should mention also networks built from correlations or similarity measures in the notes."
