"item","sagree","agree","neutral","disagree","sdisagree","notes"
"nodes.count1",23,10,1,7,0,"The range means what? Is it min-max, 25-75 percentiles, or mean-sd? It may help with more specifications.

=====

It was unclear what network count >= 5 means: Are six time points of the same network fulfilling the criterion? Or only five different networks in terms of source?

=====

For temporal networks it would be interesting to have some measure of node stability across observations - or at least the overall percentage of nodes that are present throughout all temporal observations. Similarly for multiplex/multilayer networks.

=====

The terms are not precise: e.g.
- ""For Ego Networks: Report the number of alters."" In a large ego-centric sample of 1,000 ego, should researchers list the number of alters for each of the 1,000 egos? I believe the minimum, median, and maximum number of alters would be more appropriate. 
- What is ""network count""? For example, what is the ""network count"" in the example mentioned on page 1, concerned with pollinators visiting plants?

=====

This is unclear to me: 'For Ego Networks: Report the number of alters.' If you are asking about the design of the questionnaire, then yes. If you are asking about the actual data, I would suggest including a basic descriptive analysis report (total N, minimum, maximum, mean, etc.).

=====

The cutoff value of 5 should be explained and justified in the guidelines.

=====

Its not clear that small networks (<5) have waves.
Way was a cutoff of 5 selected?"
"nodes.attribute1",22,8,2,9,0,"This is an excellent point, but the current wording leaves room for ambiguity about how it should be reported and how detailed the information needs to be, which ultimately reduces the usefulness of this point. I think some recommedations like report used scales would be good

=====

i do agree but there may be a very wide range of attributes, for instane when working with administrative registers. 

=====

My worry is that the number of node-level attributes may be quite lengthy for some datasets, so how to display the full list of attributes becomes a question in need of further consideration.

=====

I believe a maximum range should be established regarding the number of attributes that characterize the actors in the network. I make this point because it is common practice in studies to incorporate actor attributes as variables to establish cohesive subsets within networks, for example, by using actor attributes as grouping variables in cluster analysis. Therefore, establishing a minimum or maximum number of attributes (particularly in egocentric networks) could be a pragmatic option.

=====

I'm not sure if this is intended to refer to all attributes collected for the nodes or only those included in the relevant analysis for the publication. In general, I am uncertain if we are describing the dataset overall or the data specific to the reported analysis. I would suggest we clarify that we're only referring to the attributes that are relevant to the analysis being presented. 

=====

Researchers should report:
- how many attributes are available;
- for each attribute, the minimum, media, and maximum;
- for each attribute, how similar or dissimilar the attributes of unconnected and connected pairs of nodes are;
- if time-dependent, how the attributes change over time.


=====

I think node attributes should be reported, but you might want to consider offering alternatives if there are many attributes (e.g. ego networks with extensive survey responses) - something like a summary description of batches of variables (""standard questions on socio-economic background"").

=====

I think what is optional here should be mandatory. Especially the measurement ( how measured), the descriptive statistics I do not care about so much, this can be easily automated and need not be human reported.

=====

Concerning the optional part, I do feel that (at least) the measurement procedure should be mandatory."
"edges.direction1",39,2,0,0,0,""
"edges.weight1",35,2,0,4,0,"As I said earlier, I would add an independent category for signs

=====

weighted and signed are really different things.  signed means edges can be positive or negative, weighted means they are real valued (but on its own usually means positively real valued).  I would include these as two separate items.

=====

I understand by signed networks those whose edges are +1 or -1, and I believe this is quite general. But it is also possible to have weighted, signed networks, e.g., with edges +2,+1, -1, -2. I also believe that people think weighted networks have positive networks. So I would include a possibility that would be ""weighted and signed""

=====

Again, I strongy agree, but I think this is not enough. It needs to be described how the directionaltiy and weight has been established. For instance, for an infection network the direction will be indicated from the person innfected earlier to the person infected later ( or some such wording). Often this is an arbitrary decision tht can have impacts on the analysis. In a transport network, you may normalise the weights or show the raw values - this should be indicated. A numeric value also does not imply simply interpretable weights. We should specify measurement scales (binary, nominal, ordinal, interval, ratio, and possibly domain if circular. Also, units of measurement, and precision of measurement ( resolution)). I can have n1-5-n2 and n3-1-n4, but without knowing that 1 and 5 are likert scale measurements, I would not be able to interpret them correctly as ordinal, and may have assumed that one is 5x stronger than the other. "
"edges.multiplex1",26,8,0,7,0,"The example is not crystal clear to follow for non English speakers. What about: co-authorship and institution, pollination and location, imports and exports?

=====

The item should be included, but it raised the question of how to respond if my network has multiple ties with different directions/undirected, and so on. 

=====

Additionally, I believe it is necessary to clarify the differences between the various types of relationships evaluated. This could be done by incorporating the statement of the name generator used to elicit the alters that form part of a given ego's personal network.

=====

The wording here and throughout related to multiplexity feels like it could create some confusion, specifically when a network has multiple types of edges between nodes but the reported analysis of the network does not use a multiplex approach. Here's an example of a common type of reporting that comes up in my work: we collect whole network data with a roster question along the lines of ""who do you have any kind of relationship with,"" then follow it up with questions like ""what activities does this relationship include? (example responses: referrals, information sharing, service provision)"" This creates multiplex data according to the guidelines listed here. But sometimes the focus of the report is on identifying the relative prevalence of certain activities within the network (e.g., 10% of relationships include information sharing, while 50% include referrals) or comparing a couple of these as sub-networks to show how they are structurally different. I could imagine that it would be confusing for a reviewer or reader if we used the language of multiplexity to describe this when its not paired with multiplex analysis. Overall, I agree with the need to specify what all types of edges in the analysis are, but I'm uncertain about using the term ""multiplex.""

=====

I agree, but suggest here and elsewhere to use specific examples: e.g., if nodes are adolescents, then the edges could be the number of in-person conversations, the length of the in-person conversations, and the number of text message traded by the teenagers during a specified time period.

=====

It would be informative to allow edges designated as ""Multiplex"" to specify how many edge types.

=====

If it is a multiplex network then how many edge types exist?"
"edges.structural1",21,9,6,4,1,"I would explicitly mention the self-loops in the definition of ""structural edge"".

=====

I would not make it mandatory. In several scenarios such information does not make sense or is not available at collection time.

=====

this is only relevant in particular research, and not a universal issue in network research. should not be part of a standard like this

=====

In my opinion, this is probably the item that requires the most clarification, both conceptually and operationally. Perhaps more experienced SNA researchers will clearly understand the inclusion of this item; however, for most people it may be somewhat confusing. I suggest including examples of these types of structural zeros in each type of network (whole, ego, etc.).

=====

So this is a distinction between 0 and NULL and possibly FALSE. It should be clear what is indicated, and explicit NULL should be used where necessary to indicate."
"edges.meaning1",33,2,2,4,0,"similar opinion as for the general multiplexity aspect

=====

Same as above, I believe a category ""weighted and signed"" should be explicitly mentioned

=====

I agree ( again), but it needs to be distinguished whether this is in the network, its model, or in the graph. 

=====

For multimode and multiplex data, it should also be considered that edge characteristics may be different for different layers of the network. For instance, friendship may be directed but affiliation with clubs undirected - both may be part of the multilevel network reported. Similarly, in multiplex networks, one layer may be directed bynary, the other underected weighted, etc.

I think overall it would make sense to report on layers or types of edges separately for network datasets that contain multiple types of edges (multiplex or multilevel networks). For this reason, it may be useful to add the simple-multiplex distinction to the decision tree at the start. Similarly, it may be good to suggest that authors describe each edge type separately, rather than reporting on multiplexity at this step."
"edges.count1",27,5,4,5,0,"I don't know whether distinguishing between network <5 or >5 is critical. Besides, I do think that if the network is higher-order, the maximum order should be provided. Moreover, is higher order or higher-order?

=====

same opinion as the nodes criterion of five networks

=====

The term ""network count"" is unclear. For example, what is the ""network count"" in the example mentioned on page 1, concerned with pollinators visiting plants?

=====

The cutoff value of 5 should be explained and justified in the guidelines.

=====

Please explain why the 5 cutoff was selected."
"data.procedure1",27,3,4,7,0,"I agree on the importance of reporting the data-generating model, but I strongly advise against including references to specific libraries (e.g., igraph). The guidelines should remain general and implementation-independent, as there are numerous valid alternatives available. Recommending a specific library would be akin to requiring all researchers to use the same programming language, while network science is inherently multidisciplinary and encompasses diverse methodological backgrounds.

Moreover, authors may have generated their data using novel or custom implementations, which should also be properly documented. I therefore suggest revising the text to mandate reporting the name of the adopted method, accompanied by either a citation (if the method is based on prior work) or an implementation reference, with the latter being mandatory for reproducibility.

=====

If the data collection method is empirical, using a survey, it would be advisable to cite the original study in which the survey was first proposed. For example, cite the work of Manuel Barrera [(Barrera, M., Jr. (1980). A method for the assessment of social support networks in community survey research. Connections, 3, 8–13.] in the case of studies that use the ASSIS to assess structural social support.

=====

The collection of empirical data should describe
- the population of interest;
- how a sample of connections from the population network of interest was taken (e.g., ego-centric sample, link-tracing sample);
- how a sample of attributes from the population network of interest was generated.

=====

If generated the authors should provide a clear description about the theoretical foundations and the role of each parameter. That could be described within the main document or as part of an appendix. Not optional.

=====

As noted above, to be more inclusive and clear, I would call this observed ( or empirical, fine) and synthetic. Generated is unclear, as many networks are resulting from a data generation process ( logs, user interactions, etc, and it is meaningful to distinguish this).

=====

I agree with this step. However, I would add one after this that notes processing/clearning steps, if any data was removed from the original, etc. Again, I am aware that this comes in some form later, but I think it would be useful to a have a high-level summary already here.

=====

Both optional parts should be mandatory. A reference to a paper describing such details, if available, could also do the job."
"data.ethics1",24,4,4,8,1,"I wonder whether it would be ethical to report and publish a dataset that has _not_ received institutional or ethical approval. I think that this should be left to the journal or archive where the manuscript is published and GRAND should simply assume that any required ethical approvals have taken place.

=====

it should be removed and left out of the standard. There are well defined moments for an ethic chech and this should not come back in a standard that has as purpose to clearly understand what the data is and means

=====

I agree with the optional sentence: ""Provide a detailed description of any approvals, procedures for obtaining informed consent and data security practices such as deidentification"". With adults, I consider informed consent and institutional deidentification to be sufficient, rather than institutional or ethical approval.

=====

The guidelines could specify that if institutional approval was *NOT* obtained, an explanation of why such approval was not needed could be provided.

=====

this should likely only apply for networks where data capture information about people and their spatial behaviour, or of animals that are held in captivity and/or fitted with physical sensors. I do not see a need to do this for wild animals observed by remote sensing, or for say infrastructure networks.  

=====

This should also mention that authors can provide a citation to the paper where the data procedures and ethics are described. 

=====

I think that a detailed description of any approvals, procedures for obtaining informed consent, potential risks should always be present in a dataset description. Also, the people must report the method of data anonymization (which is ideally recommended). Optionally, participants were reimbursed or not can be reported. 

=====

I would also make it minimally required to summarise key ethics processes or add a link to a more detailed ethics document.

=====

I would say that in some cases there no need of IRB and if this is defined by GRAND that would be very helpful. "
